source,trajectory_id,llm,agent_role,critical_failure_step,critical_failure_module,raw_failure_type,proposed_cluster,proposed_cluster_label,proposed_level,failure_reasoning_text,review_status,review_original_cluster,review_reason
AgentErrorBench,GPT-4o_001_memory_b000_t00_e00-7743eba0,GPT-4o,planning,5,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Inefficient plan by redo similar stuffs,kept,,
AgentErrorBench,GPT-4o_002_memory_b000_t00_e01-7ab08a46,GPT-4o,action,3,action,misalignment,N4,Wrong tool selection,node,"the action taken was to use the 'wikipedia_knowledge_searcher' tool, which does not access the Tropicos database ",kept,,
AgentErrorBench,GPT-4o_003_memory_b000_t00_e03-21a3a421,GPT-4o,planning,3,planning,inefficient_plan,FLAG,Requires further review,review,Inefficient plan by redo similar stuffs,changed,P1,"critical_failure_step index 3 is beyond the stored history length. The Tizin translation task requires no tools, making the failure mode unclear. Mechanism unverifiable without the step content."
AgentErrorBench,GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,GPT-4o,planning,1,planning,constraint_ignorance,P4,Constraint ignorance / unchecked assumption,process,constraint_ignorance by not including all required elements,kept,,
AgentErrorBench,GPT-4o_005_memory_b000_t00_e05-c9015705,GPT-4o,planning,1,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Inefficient plan by starting with a bad query,kept,,
AgentErrorBench,GPT-4o_006_memory_b000_t00_e06-71f77595,GPT-4o,memory,3,memory,over_simplification,P3,Cascading error (explicit propagation),process,"At step 3, the memory module summarized the outcome of the world box office URL extraction as 'The top 10 highest-grossing worldwide movies were identified,' but did not actually store or enumerate the extracted movie titles or any details from the data.",kept,,
AgentErrorBench,GPT-4o_007_memory_b000_t00_e08-f572f2ad,GPT-4o,memory,2,memory,over_simplification,P3,Cascading error (explicit propagation),process,"At step 2, the memory module grossly oversimplified the search results by summarizing them as providing no significant progress or direct content",kept,,
AgentErrorBench,GPT-4o_008_memory_b000_t00_e09-f0557a9f,GPT-4o,planning,5,planning,impossible_action,P1,Improper task decomposition / bad plan,process,"At step 5, the planning module proposed using the arxiv_paper_searcher or pubmed_search tool to find information about a DDC 633 article with a unique flag at Bielefeld University Library's BASE. ",kept,,
AgentErrorBench,GPT-4o_009_memory_b001_t00_e01-7ab08a46,GPT-4o,planning,8,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Inefficient plan by redo similar stuffs,kept,,
AgentErrorBench,GPT-4o_010_memory_b001_t00_e02-8d639e26,GPT-4o,planning,4,planning,impossible_action,P4,Constraint ignorance / unchecked assumption,process,"At step 4, the planning module made the critical error of assuming it could extract or access the transcript or narration from a YouTube video using available tools",changed,P1,"Planning module at step 4 assumed the agent could extract transcript/narration from a YouTube video via available tools — a capability that does not exist. Unchecked capability assumption (P4), not merely an inefficient plan (P1). Annotator explicitly flags 'assuming it could extract or access the transcript.'"
AgentErrorBench,GPT-4o_011_memory_b001_t00_e03-21a3a421,GPT-4o,memory,3,memory,over_simplification,P3,Cascading error (explicit propagation),process,Don't give enough details,kept,,
AgentErrorBench,GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,GPT-4o,action,5,action,parameter_error,N5,Invalid tool parameters / input,node,Search an non-sensical query,kept,,
AgentErrorBench,GPT-4o_013_memory_b001_t00_e05-c9015705,GPT-4o,action,5,action,parameter_error,DROP,Annotation insufficient to classify,review,wrong number input,changed,N5,Outcome-only reasoning: 'wrong number input.' No mechanism described. Step content does not show the specific parameter value or tool call; mechanism unverifiable.
AgentErrorBench,GPT-4o_014_memory_b001_t00_e06-71f77595,GPT-4o,planning,7,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Inefficient plan by redo similar stuffs,kept,,
AgentErrorBench,GPT-4o_015_memory_b001_t00_e07-f5b5d66a,GPT-4o,reflection,4,reflection,outcome_misinterpretation,P2,Progress misassessment,process,misinterpretation of the result as it was successful,kept,,
AgentErrorBench,GPT-4o_016_memory_b001_t00_e08-f572f2ad,GPT-4o,planning,2,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Inefficient plan that won't help,kept,,
AgentErrorBench,Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0,Llama3.3-70B-Turbo,planning,6,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,"Make an low efficient plan that not success, repeat the similar action that not success",kept,,
